File;Header parsing;Decoding
1024px-Huffman_coding_visualisation.bmp.tiiv;2427783;118551421
1024px-Huffman_coding_visualisation.bmp.tiiv;423573;91718282
1024px-Huffman_coding_visualisation.bmp.tiiv;154170;85104598
1024px-Huffman_coding_visualisation.bmp.tiiv;123968;74373949
1024px-Huffman_coding_visualisation.bmp.tiiv;117438;32419404
1024px-Huffman_coding_visualisation.bmp.tiiv;137923;29453610
1024px-Huffman_coding_visualisation.bmp.tiiv;119022;28638432
1024px-Huffman_coding_visualisation.bmp.tiiv;161795;30840776
1024px-Huffman_coding_visualisation.bmp.tiiv;161588;29667270
1024px-Huffman_coding_visualisation.bmp.tiiv;94939;32120614
1024px-Huffman_coding_visualisation.bmp.tiiv;95647;31202582
1024px-Huffman_coding_visualisation.bmp.tiiv;102938;36957964
1024px-Huffman_coding_visualisation.bmp.tiiv;180198;31643344
1024px-Huffman_coding_visualisation.bmp.tiiv;95412;30158483
1024px-Huffman_coding_visualisation.bmp.tiiv;96067;44222100
1024px-Huffman_coding_visualisation.bmp.tiiv;102538;36246222
1024px-Huffman_coding_visualisation.bmp.tiiv;109638;33408346
1024px-Huffman_coding_visualisation.bmp.tiiv;161705;36344531
1024px-Huffman_coding_visualisation.bmp.tiiv;101113;31545212
1024px-Huffman_coding_visualisation.bmp.tiiv;94088;31059493
1280px-Huffman_coding_visualisation.bmp.tiiv;135158;45672812
1280px-Huffman_coding_visualisation.bmp.tiiv;120340;46346480
1280px-Huffman_coding_visualisation.bmp.tiiv;121349;45691169
1280px-Huffman_coding_visualisation.bmp.tiiv;129294;42610663
1280px-Huffman_coding_visualisation.bmp.tiiv;120284;43915649
1280px-Huffman_coding_visualisation.bmp.tiiv;313810;54202518
1280px-Huffman_coding_visualisation.bmp.tiiv;139487;42505714
1280px-Huffman_coding_visualisation.bmp.tiiv;120598;59331114
1280px-Huffman_coding_visualisation.bmp.tiiv;120723;44857077
1280px-Huffman_coding_visualisation.bmp.tiiv;121697;43210931
1280px-Huffman_coding_visualisation.bmp.tiiv;122433;42385989
1280px-Huffman_coding_visualisation.bmp.tiiv;152754;60733213
1280px-Huffman_coding_visualisation.bmp.tiiv;151087;42479822
1280px-Huffman_coding_visualisation.bmp.tiiv;120935;49248733
1280px-Huffman_coding_visualisation.bmp.tiiv;121540;49888157
1280px-Huffman_coding_visualisation.bmp.tiiv;121602;45302013
1280px-Huffman_coding_visualisation.bmp.tiiv;122107;43472979
1280px-Huffman_coding_visualisation.bmp.tiiv;155462;47180487
1280px-Huffman_coding_visualisation.bmp.tiiv;137195;47750225
1280px-Huffman_coding_visualisation.bmp.tiiv;123088;43356015
320px-Huffman_coding_visualisation.bmp.tiiv;45968;3071651
320px-Huffman_coding_visualisation.bmp.tiiv;28362;3157706
320px-Huffman_coding_visualisation.bmp.tiiv;34789;3130832
320px-Huffman_coding_visualisation.bmp.tiiv;27569;3046948
320px-Huffman_coding_visualisation.bmp.tiiv;28801;3046213
320px-Huffman_coding_visualisation.bmp.tiiv;38157;3048129
320px-Huffman_coding_visualisation.bmp.tiiv;28468;3047036
320px-Huffman_coding_visualisation.bmp.tiiv;31442;3092883
320px-Huffman_coding_visualisation.bmp.tiiv;40957;3092250
320px-Huffman_coding_visualisation.bmp.tiiv;28958;3046517
320px-Huffman_coding_visualisation.bmp.tiiv;55998;3817848
320px-Huffman_coding_visualisation.bmp.tiiv;55121;3146342
320px-Huffman_coding_visualisation.bmp.tiiv;31108;3256907
320px-Huffman_coding_visualisation.bmp.tiiv;29129;3047441
320px-Huffman_coding_visualisation.bmp.tiiv;29352;3047895
320px-Huffman_coding_visualisation.bmp.tiiv;29072;3047063
320px-Huffman_coding_visualisation.bmp.tiiv;29143;3046761
320px-Huffman_coding_visualisation.bmp.tiiv;28786;3045841
320px-Huffman_coding_visualisation.bmp.tiiv;29097;3126963
320px-Huffman_coding_visualisation.bmp.tiiv;29447;3053126
512px-Huffman_coding_visualisation.bmp.tiiv;56761;7844933
512px-Huffman_coding_visualisation.bmp.tiiv;44652;8215350
512px-Huffman_coding_visualisation.bmp.tiiv;43683;9371363
512px-Huffman_coding_visualisation.bmp.tiiv;82135;9051902
512px-Huffman_coding_visualisation.bmp.tiiv;43282;9674459
512px-Huffman_coding_visualisation.bmp.tiiv;51304;7764759
512px-Huffman_coding_visualisation.bmp.tiiv;42021;7904856
512px-Huffman_coding_visualisation.bmp.tiiv;46353;9034417
512px-Huffman_coding_visualisation.bmp.tiiv;56219;9679725
512px-Huffman_coding_visualisation.bmp.tiiv;65090;10388608
512px-Huffman_coding_visualisation.bmp.tiiv;41322;8052063
512px-Huffman_coding_visualisation.bmp.tiiv;41299;7742599
512px-Huffman_coding_visualisation.bmp.tiiv;41678;7797925
512px-Huffman_coding_visualisation.bmp.tiiv;41295;10153005
512px-Huffman_coding_visualisation.bmp.tiiv;75267;8069724
512px-Huffman_coding_visualisation.bmp.tiiv;41100;7795880
512px-Huffman_coding_visualisation.bmp.tiiv;41609;10046994
512px-Huffman_coding_visualisation.bmp.tiiv;41227;8118892
512px-Huffman_coding_visualisation.bmp.tiiv;41377;7802203
512px-Huffman_coding_visualisation.bmp.tiiv;52886;8081697
640px-Huffman_coding_visualisation.bmp.tiiv;57192;17588743
640px-Huffman_coding_visualisation.bmp.tiiv;52494;12883704
640px-Huffman_coding_visualisation.bmp.tiiv;52832;17884229
640px-Huffman_coding_visualisation.bmp.tiiv;54389;11675136
640px-Huffman_coding_visualisation.bmp.tiiv;52545;11597349
640px-Huffman_coding_visualisation.bmp.tiiv;52996;11801851
640px-Huffman_coding_visualisation.bmp.tiiv;53169;11497676
640px-Huffman_coding_visualisation.bmp.tiiv;53269;12577617
640px-Huffman_coding_visualisation.bmp.tiiv;54054;11706485
640px-Huffman_coding_visualisation.bmp.tiiv;52997;13906007
640px-Huffman_coding_visualisation.bmp.tiiv;62339;12633329
640px-Huffman_coding_visualisation.bmp.tiiv;53169;17946047
640px-Huffman_coding_visualisation.bmp.tiiv;53119;11526317
640px-Huffman_coding_visualisation.bmp.tiiv;58743;11879870
640px-Huffman_coding_visualisation.bmp.tiiv;53309;13738255
640px-Huffman_coding_visualisation.bmp.tiiv;62380;11569868
640px-Huffman_coding_visualisation.bmp.tiiv;53670;11458163
640px-Huffman_coding_visualisation.bmp.tiiv;67507;17551004
640px-Huffman_coding_visualisation.bmp.tiiv;52844;16428679
640px-Huffman_coding_visualisation.bmp.tiiv;53136;15916464
800px-Huffman_coding_visualisation.bmp.tiiv;68248;17758384
800px-Huffman_coding_visualisation.bmp.tiiv;68285;18526532
800px-Huffman_coding_visualisation.bmp.tiiv;73469;18691970
800px-Huffman_coding_visualisation.bmp.tiiv;68174;25647651
800px-Huffman_coding_visualisation.bmp.tiiv;68398;27017354
800px-Huffman_coding_visualisation.bmp.tiiv;68049;18342930
800px-Huffman_coding_visualisation.bmp.tiiv;67559;23927042
800px-Huffman_coding_visualisation.bmp.tiiv;68121;17843277
800px-Huffman_coding_visualisation.bmp.tiiv;68414;26684203
800px-Huffman_coding_visualisation.bmp.tiiv;76447;27442212
800px-Huffman_coding_visualisation.bmp.tiiv;67928;20855395
800px-Huffman_coding_visualisation.bmp.tiiv;69216;18605375
800px-Huffman_coding_visualisation.bmp.tiiv;73564;19359138
800px-Huffman_coding_visualisation.bmp.tiiv;68457;21431266
800px-Huffman_coding_visualisation.bmp.tiiv;68145;19346736
800px-Huffman_coding_visualisation.bmp.tiiv;68386;26558243
800px-Huffman_coding_visualisation.bmp.tiiv;71790;19952319
800px-Huffman_coding_visualisation.bmp.tiiv;68099;17625567
800px-Huffman_coding_visualisation.bmp.tiiv;73817;17783647
800px-Huffman_coding_visualisation.bmp.tiiv;77959;17854882
